GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
employee-spring,com.increff.employee.model.data,SalesReportData,31,0,0,0,13,0,9,0,9,0
employee-spring,com.increff.employee.model.data,CommonOrderItemData,38,0,0,0,16,0,11,0,11,0
employee-spring,com.increff.employee.model.data,InventoryData,3,7,0,0,1,3,1,2,1,2
employee-spring,com.increff.employee.model.data,OrderData,24,0,0,0,10,0,7,0,7,0
employee-spring,com.increff.employee.model.data,BrandData,3,7,0,0,1,3,1,2,1,2
employee-spring,com.increff.employee.model.data,InventoryReportData,24,0,0,0,10,0,7,0,7,0
employee-spring,com.increff.employee.model.data,ProductData,3,7,0,0,1,3,1,2,1,2
employee-spring,com.increff.employee.spring,WebInitializer,20,0,0,0,4,0,4,0,4,0
employee-spring,com.increff.employee.spring,ControllerConfig,4,112,0,0,2,25,1,7,1,7
employee-spring,com.increff.employee.spring,SecurityConfig,0,92,0,0,0,14,0,4,0,4
employee-spring,com.increff.employee.spring,SpringSecurityInitializer,3,0,0,0,1,0,1,0,1,0
employee-spring,com.increff.employee.spring,SpringConfig,3,0,0,0,1,0,1,0,1,0
employee-spring,com.increff.employee.spring,DbConfig,0,108,0,0,0,28,0,4,0,4
employee-spring,com.increff.employee.service,InventoryService,0,63,0,4,0,18,0,9,0,7
employee-spring,com.increff.employee.service,ProductService,9,66,1,3,2,17,2,7,1,6
employee-spring,com.increff.employee.service,AboutAppService,0,9,0,0,0,3,0,3,0,3
employee-spring,com.increff.employee.service,ApiException,0,4,0,0,0,2,0,1,0,1
employee-spring,com.increff.employee.service,OrderItemService,58,3,2,0,15,1,7,1,6,1
employee-spring,com.increff.employee.service,DaySalesService,5,3,0,0,2,1,1,1,1,1
employee-spring,com.increff.employee.service,EmployeeService,59,20,3,1,15,7,7,3,5,3
employee-spring,com.increff.employee.service,UserService,48,3,2,0,13,1,6,1,5,1
employee-spring,com.increff.employee.service,BrandService,0,62,0,2,0,16,0,8,0,7
employee-spring,com.increff.employee.service,OrderService,51,3,0,0,13,1,8,1,8,1
employee-spring,com.increff.employee.util,CookieUtil,36,0,6,0,8,0,5,0,2,0
employee-spring,com.increff.employee.util,UserPrincipal,17,0,0,0,7,0,5,0,5,0
employee-spring,com.increff.employee.util,SecurityUtil,27,0,2,0,9,0,6,0,5,0
employee-spring,com.increff.employee.util,IOUtil,11,0,2,0,7,0,3,0,2,0
employee-spring,com.increff.employee.util,StringUtil,5,16,2,4,1,2,3,3,1,2
employee-spring,com.increff.employee.client,InvoiceClient,46,3,0,0,9,1,1,1,1,1
employee-spring,com.increff.employee.controller,InitApiController,56,3,2,0,15,1,4,1,3,1
employee-spring,com.increff.employee.controller,SampleController,43,3,0,0,11,1,1,1,1,1
employee-spring,com.increff.employee.controller,OrderApiController,46,3,0,0,14,1,9,1,9,1
employee-spring,com.increff.employee.controller,AboutApiController,16,3,0,0,4,1,1,1,1,1
employee-spring,com.increff.employee.controller,InventoryApiController,32,3,0,0,10,1,6,1,6,1
employee-spring,com.increff.employee.controller,AbstractUiController,55,3,4,0,14,1,3,1,1,1
employee-spring,com.increff.employee.controller,SiteUiController,60,3,0,0,15,1,15,1,15,1
employee-spring,com.increff.employee.controller,AppUiController,20,3,0,0,5,1,5,1,5,1
employee-spring,com.increff.employee.controller,ProductApiController,25,3,0,0,8,1,5,1,5,1
employee-spring,com.increff.employee.controller,AdminApiController,75,3,2,0,21,1,6,1,5,1
employee-spring,com.increff.employee.controller,LoginController,86,3,6,0,19,1,6,1,3,1
employee-spring,com.increff.employee.controller,EmployeeApiController,88,3,2,0,25,1,8,1,7,1
employee-spring,com.increff.employee.controller,AppRestControllerAdvice,27,3,0,0,6,1,2,1,2,1
employee-spring,com.increff.employee.controller,BrandApiController,25,3,0,0,8,1,5,1,5,1
employee-spring,com.increff.employee.pojo,EmployeePojo,14,10,0,0,6,4,4,3,4,3
employee-spring,com.increff.employee.pojo,OrderItemPojo,35,3,0,0,15,1,10,1,10,1
employee-spring,com.increff.employee.pojo,BrandPojo,4,20,0,0,0,5,1,6,1,6
employee-spring,com.increff.employee.pojo,UserPojo,28,3,0,0,12,1,8,1,8,1
employee-spring,com.increff.employee.pojo,DaySalesPojo,31,0,0,0,6,0,9,0,9,0
employee-spring,com.increff.employee.pojo,OrderPojo,21,3,0,0,9,1,6,1,6,1
employee-spring,com.increff.employee.pojo,InventoryPojo,0,17,0,0,0,4,0,5,0,5
employee-spring,com.increff.employee.pojo,ProductPojo,4,34,0,0,2,14,1,10,1,10
employee-spring,com.increff.employee.dao,InventoryDao,0,46,0,0,0,11,0,5,0,5
employee-spring,com.increff.employee.dao,AbstractDao,3,16,0,0,1,3,1,3,1,3
employee-spring,com.increff.employee.dao,BrandDao,0,67,0,0,0,16,0,7,0,7
employee-spring,com.increff.employee.dao,DaySalesDao,5,3,0,0,2,1,1,1,1,1
employee-spring,com.increff.employee.dao,EmployeeInMemDao,53,9,0,0,12,3,5,2,5,2
employee-spring,com.increff.employee.dao,UserDao,59,12,0,0,14,5,6,2,6,2
employee-spring,com.increff.employee.dao,EmployeeDao,39,15,0,0,9,6,4,3,4,3
employee-spring,com.increff.employee.dao,OrderDao,95,3,0,0,20,1,9,1,9,1
employee-spring,com.increff.employee.dao,ProductDao,8,54,0,0,2,13,1,6,1,6
employee-spring,com.increff.employee.dao,OrderItemDao,72,3,0,0,17,1,7,1,7,1
employee-spring,com.increff.employee.model,EmployeeData,10,0,0,0,4,0,3,0,3,0
employee-spring,com.increff.employee.model,EmployeeForm,17,0,0,0,7,0,5,0,5,0
employee-spring,com.increff.employee.model,MessageData,10,0,0,0,4,0,3,0,3,0
